Lat,Lon
36.021,79.735
68.497,86.264
78.126,-120.179
45.933,-106.577
13.200,-103.712
-19.645,-101.592
-52.323,-98.225
-83.903,-67.029
-62.169,70.324
-29.597,75.092
3.226,77.331
63.106,114.322
83.082,-104.433
51.369,-77.428
18.685,-74.101
-14.159,-71.953
-46.881,-68.982
-79.011,-53.782
-67.549,98.289
-35.063,104.575
-2.266,106.986
30.552,109.278
86.302,-126.223
56.818,-48.502
24.190,-44.520
-8.645,-42.309
-41.404,-39.623
-73.747,-30.147
-72.912,125.078
-40.546,133.984
-7.781,136.629
25.051,138.852
57.670,142.954
62.265,-19.905
29.704,-14.971
-3.114,-12.664
-35.906,-10.190
-68.371,-3.510
-78.198,149.170
-46.035,163.304
-13.309,166.262
19.531,168.446
52.205,171.902
83.750,-156.814
35.212,14.543
2.416,16.984
-30.400,19.297
-62.953,24.361
-83.188,164.636
-51.515,-167.492
-18.835,-164.115
14.007,-161.943
46.729,-158.951
78.857,-143.842
67.691,8.139
7.932,46.635
-24.903,48.830
-57.526,52.866
-86.357,141.533
-56.970,-138.462
-24.341,-134.504
8.495,-132.315
41.257,-129.666
73.610,-120.393
73.066,35.107
40.698,44.012
