Lat,Lon
-35.0323,246.841
-67.4718,253.004
-79.1786,45.216
-47.1079,60.4644
-14.4161,63.4052
18.4386,65.5224
51.1688,68.786
82.9838,94.8898
63.1999,237.21
30.5931,242.207
-2.2486,244.468
-62.1082,281.117
-84.0081,57.7267
-52.5224,89.6451
-19.8833,93.03
12.9638,95.1524
45.7342,98.0081
77.9898,111.434
68.5775,265.149
36.0519,271.716
3.22902,274.125
-29.5844,276.363
-86.3687,24.7671
-57.923,118.596
-25.3447,122.628
7.48669,124.798
40.2897,127.368
72.7283,135.938
73.9103,291.796
41.5031,301.153
8.70689,303.778
-24.1286,305.933
-56.7211,309.798
-63.3057,147.177
-30.7988,152.189
2.00873,154.453
34.8366,156.823
67.3826,162.966
79.1384,315.291
46.9456,330.486
14.1836,333.421
-18.6658,335.538
-51.3172,338.81
-83.005,4.99424
-36.2448,181.697
-3.46866,184.11
29.3763,186.346
61.9983,191.086
83.9919,327.843
52.3778,359.67
19.6577,3.04598
-13.1974,5.16776
-45.8999,8.02954
-78.0347,21.5025
-68.6623,175.108
-8.94406,213.763
23.9099,215.917
56.5914,219.771
86.3684,294.731
57.7972,28.6243
25.128,32.6449
-7.72454,34.8133
-40.4711,37.3876
-72.7958,45.9875
-73.9732,201.743
-41.6815,211.133
