Lat,Lon
-0.120024,79.3887
32.7154,81.7001
65.2936,87.2138
81.1035,235.831
49.058,255.259
16.3113,258.347
-16.5413,260.461
-49.2134,263.556
-81.1344,283.05
-65.3911,71.5432
-32.9163,77.0745
27.2526,111.243
59.8993,115.594
85.5065,236.617
54.4855,284.366
21.7841,287.963
-11.071,290.098
-43.7915,292.836
-76.0147,303.949
-70.7335,99.0825
-38.3588,106.557
-5.59681,109.045
54.4857,144.427
85.5066,192.178
59.8991,313.199
27.2525,317.549
-5.59679,319.748
-38.3586,322.235
-70.7333,329.71
-76.0149,124.843
-43.7916,135.957
-11.071,138.695
21.7842,140.829
81.1038,192.962
65.2934,341.579
32.7153,347.092
-0.120024,349.404
-32.9162,351.718
-65.3909,357.249
-81.1346,145.742
-49.2136,165.237
-16.5414,168.331
16.3114,170.446
49.0582,173.533
70.6571,9.12707
38.1713,16.5764
5.35786,19.06
-27.4651,21.2603
-60.017,25.6232
-85.5134,146.5
-54.623,194.34
-22.0065,197.947
10.8355,200.083
43.6195,202.815
75.9609,213.89
43.6193,45.9774
10.8354,48.7099
-22.0064,50.8455
-54.6228,54.4525
-85.5132,102.291
-60.0172,223.169
-27.4652,227.532
5.35788,229.733
38.1714,232.216
70.6573,239.666
75.9607,34.9031
