Lat,Lon
0.110,79.642
32.920,81.956
65.446,87.505
81.018,-123.677
49.021,-104.494
16.313,-101.413
-16.533,-99.301
-49.239,-96.203
-81.218,-76.480
-65.230,71.844
-32.701,77.334
27.447,111.527
60.041,115.962
85.411,-122.653
54.450,-75.462
21.795,-71.819
-11.045,-69.653
-43.791,-66.873
-76.063,-55.537
-70.590,99.253
-38.162,106.776
-5.381,109.294
54.594,144.821
85.467,-166.280
59.889,-46.717
27.297,-42.260
-5.530,-40.005
-38.309,-37.454
-70.728,-29.781
-75.910,124.820
-43.640,136.129
-10.895,138.931
21.943,141.121
81.074,-166.132
65.324,-18.421
32.807,-12.739
0.001,-10.358
-32.805,-7.977
-65.322,-2.294
-81.075,145.413
-49.123,165.372
-16.422,168.554
16.420,170.731
49.121,173.912
70.729,9.067
38.310,16.739
5.531,19.290
-27.295,21.544
-59.888,26.000
-85.469,145.558
-54.595,-165.535
-21.944,-161.836
10.894,-159.646
43.639,-156.845
75.909,-145.539
43.791,46.159
11.046,48.938
-21.794,51.103
-54.449,54.745
-85.411,101.923
-60.042,-136.675
-27.448,-132.241
5.380,-130.009
38.161,-127.492
70.589,-119.972
76.064,34.825


